Pillar,Capability,Activity,ActivityDescriptions,ActivityOutcomes,CapabilityDescription,CapabilityOutcome,AssociatedActivities,AssessmentId,AssessmentName,AssessmentDescription,Standard,Control
" Network and Environment","5.3 Macro Segmentation","5.3.2 b/c/p/s macro segmentation","DoD Organizations implement base, camp, post, and station macro- segmentation using logical network zones limiting lateral movement.
Proxy and/or enforcement checks are integrated with the SDN solution(s) based on device attributes and behavior.","Establish Proxy/Enforcement Checks of Device Attributes, Behavior, and other Data; Log Actions to SIEM; Analyze Activities with Analytics Engine; Leverage SOAR to Provide RT Policy Access Decisions","DoD organizations establish network boundaries and provide security against networked assets located within an environment by validating the device, user, or NPE on each attempt of accessing a remote resource prior to connection.","DoD organizations establish network perimeters and provide security against devices located within an environment by validating the device, user, or NPE on each attempt of accessing a remote resource prior to
connection","* Datacenter Macro segmentation
* B/C/P/S Macro segmentation","da79a7e2-8aa1-45ed-af81-ba050c153564","Azure Firewall Policy should enable Threat Intelligence","Threat intelligence-based filtering can be enabled for your firewall to alert and deny traffic from/to known malicious IP addresses and domains. The IP addresses and domains are sourced from the Microsoft Threat Intelligence feed.","Azure Recommended","Azure Recommended"
" Visibility and Analytics","7.6 Automated Dynamic Policies","7.6.2 ai-enabled dynamic access control","DoD Organizations utilize previous rule based dynamic access to teach Artificial Intelligence (AI)/Machine Learning (ML) algorithms to make access decision to various resources. The ?AI-enabled Network Access? activity algorithms are updated to enable broader decision making to
all DAAS.","JIT/JEA are integrated with AI; Access is AI driven based on environment analytics","DoD Organization ML & AI solutions dynamically and automatically update security profiles and device configuration through continuous security posture monitoring, risk and confidence scoring, and automated patch management.","CNDSPs/SOCs dynamically and automatically update security profiles and device configuration through continuous security posture monitoring, risk and confidence scoring, and automated patch
management","* AI-enabled Network Access
* AI-enabled Dynamic Access Control","20c757cd-aa00-4cd5-9f35-e77129c3f813","Azure Machine Learning workspaces should use private link","Azure Private Link lets you connect your virtual network to Azure services without a public IP address at the source or destination. The Private Link platform handles the connectivity between the consumer and services over the Azure backbone network. By mapping private endpoints to Azure Machine Learning workspaces, data leakage risks are reduced. Learn more about private links at: https://docs.microsoft.com/azure/machine-learning/how-to-configure-private-link.","NIST SP 800-53 Rev. 5","SI-4"
" Device","2.3 Device Authorization w/ Real
Time Inspection","2.3.1 entity activity monitoring pt1","Using the developed User and Device baselines, DoD Organizations utilize the implemented User and Entity Behavioral Activity (UEBA) solution to integrate baselines. UEBA device attributes and baselines are available to be used for device authorization detections.","UEBA attributes are integrated for device baselining; UEBA attributes are available for usage with device access","DoD Organizations conduct foundational and extended device tooling (NextGen AV, AppControl, File Integrity Monitoring (FIM), etc.) integration to better understand the risk posture.
Organizational PKI systems are integrated to expand the existing Enterprise PKI to devices as well. Lastly Entity Activity Monitoring is also integrated to identify anomalous activities.","DoD organizations establish processes (e.g., Enterprise PKI) and utilize tools to identify any device (including unmanaged devices, infrastructure devices, and endpoint devices) attempting to access the network, and make a determination if the device should be authorized to access the network.
Maturation of this capability monitoring and detection of this activity on endpoints and IT infrastructure in real time","* Entity Activity Monitoring Pt1
* Entity Activity Monitoring Pt2
* Implement Application Control & File Integrity Monitoring (FIM) Tools
* Integrate NextGen AV Tools with C2C
* Fully Integrate Device Security stack with C2C as appropriate
* Enterprise PKI Pt1
* Enterprise PKI Pt2","ec621e21-8b48-403d-a549-fc9023d4747f","Windows Arc-enabled machines should have Azure Monitor Agent installed","Windows Arc-enabled machines should be monitored and secured through the deployed Azure Monitor Agent. The Azure Monitor Agent collects telemetry data from the guest OS. Windows Arc-enabled machines in supported regions are monitored for Azure Monitor Agent deployment. Learn more: https://aka.ms/AMAOverview.","NIST SP 800-53 Rev. 5","AC-16"
" Network and Environment","5.4 Micro Segmentation","5.4.4 protect data in transit","Based on the data flow mappings and monitoring, policies are enabled by DoD Organizations to mandate protection of data in transit.
Common use cases such as Coalition Information Sharing, Sharing Across System Boundaries and Protection across Architectural Components are included in protection policies.","Protect Data In Transit During Coalition Information Sharing; Protect Data in Transit Across System High Boundaries; Integrate Data In Transit Protection Across Architecture Components","DoD organizations define and document network segmentation based on identity and / or application access in their virtualized and/or cloud environments. Automation is used to apply policy changes through programmatic (e.g., API) approaches. Lastly where possible organizations will utilize host-level process micro segmentation.","DoD organizations define and document network segmentation based on identity and / or application access in their virtualized cloud environments","* Implement Micro segmentation
* Application & Device Micro segmentation
* Process Micro segmentation
* Protect Data In Transit","cd6f7aff-2845-4dab-99f2-6d1754a754b0","Deploy a Flow Log resource with target virtual network","Configures flow log for specific virtual network. It will allow to log information about IP traffic flowing through an virtual network. Flow log helps to identify unknown or undesired traffic, verify network isolation and compliance with enterprise access rules, analyze network flows from compromised IPs and network interfaces.","NIST SP 800-53 Rev. 5","SC-13"
" Automation and Orchestration","6.6 API Standardization","6.6.1 tool compliance analysis","Automation and Orchestration tooling and solutions are analyzed for compliance and capabilities based on the DoD Enterprise programmatic interface standard and requirements. Any additional tooling or solutions are identified to support the programmatic
interface standards and requirements.","API status is determined compliance or non-compliance to API standards; Tools to be used are Identified","DoD establishes and enforces enterprise-wide programmatic interface (e.g., API ) standards; all non-compliant APIs are identified and replaced.","DoD establishes and enforces enterprise-wide API standards; all non-compliant APIs are identified and replaced","* Tool Compliance Analysis
* Standardized API Calls & Schemas Pt1
* Standardized API Calls & Schemas Pt2","cd6f7aff-2845-4dab-99f2-6d1754a754b0","Deploy a Flow Log resource with target virtual network","Configures flow log for specific virtual network. It will allow to log information about IP traffic flowing through an virtual network. Flow log helps to identify unknown or undesired traffic, verify network isolation and compliance with enterprise access rules, analyze network flows from compromised IPs and network interfaces.","Azure Recommended","Azure Recommended"
" Network and Environment","5.4 Micro Segmentation","5.4.4 protect data in transit","Based on the data flow mappings and monitoring, policies are enabled by DoD Organizations to mandate protection of data in transit.
Common use cases such as Coalition Information Sharing, Sharing Across System Boundaries and Protection across Architectural Components are included in protection policies.","Protect Data In Transit During Coalition Information Sharing; Protect Data in Transit Across System High Boundaries; Integrate Data In Transit Protection Across Architecture Components","DoD organizations define and document network segmentation based on identity and / or application access in their virtualized and/or cloud environments. Automation is used to apply policy changes through programmatic (e.g., API) approaches. Lastly where possible organizations will utilize host-level process micro segmentation.","DoD organizations define and document network segmentation based on identity and / or application access in their virtualized cloud environments","* Implement Micro segmentation
* Application & Device Micro segmentation
* Process Micro segmentation
* Protect Data In Transit","d63edb4a-c612-454d-b47d-191a724fcbf0","Event Hub should use a virtual network service endpoint","This policy audits any Event Hub not configured to use a virtual network service endpoint.","NIST SP 800-53 Rev. 5","SC-13"
" Automation and Orchestration","6.6 API Standardization","6.6.1 tool compliance analysis","Automation and Orchestration tooling and solutions are analyzed for compliance and capabilities based on the DoD Enterprise programmatic interface standard and requirements. Any additional tooling or solutions are identified to support the programmatic
interface standards and requirements.","API status is determined compliance or non-compliance to API standards; Tools to be used are Identified","DoD establishes and enforces enterprise-wide programmatic interface (e.g., API ) standards; all non-compliant APIs are identified and replaced.","DoD establishes and enforces enterprise-wide API standards; all non-compliant APIs are identified and replaced","* Tool Compliance Analysis
* Standardized API Calls & Schemas Pt1
* Standardized API Calls & Schemas Pt2","d63edb4a-c612-454d-b47d-191a724fcbf0","Event Hub should use a virtual network service endpoint","This policy audits any Event Hub not configured to use a virtual network service endpoint.","Azure Recommended","Azure Recommended"
" Device","2.3 Device Authorization w/ Real
Time Inspection","2.3.1 entity activity monitoring pt1","Using the developed User and Device baselines, DoD Organizations utilize the implemented User and Entity Behavioral Activity (UEBA) solution to integrate baselines. UEBA device attributes and baselines are available to be used for device authorization detections.","UEBA attributes are integrated for device baselining; UEBA attributes are available for usage with device access","DoD Organizations conduct foundational and extended device tooling (NextGen AV, AppControl, File Integrity Monitoring (FIM), etc.) integration to better understand the risk posture.
Organizational PKI systems are integrated to expand the existing Enterprise PKI to devices as well. Lastly Entity Activity Monitoring is also integrated to identify anomalous activities.","DoD organizations establish processes (e.g., Enterprise PKI) and utilize tools to identify any device (including unmanaged devices, infrastructure devices, and endpoint devices) attempting to access the network, and make a determination if the device should be authorized to access the network.
Maturation of this capability monitoring and detection of this activity on endpoints and IT infrastructure in real time","* Entity Activity Monitoring Pt1
* Entity Activity Monitoring Pt2
* Implement Application Control & File Integrity Monitoring (FIM) Tools
* Integrate NextGen AV Tools with C2C
* Fully Integrate Device Security stack with C2C as appropriate
* Enterprise PKI Pt1
* Enterprise PKI Pt2","aa78af66-1659-40aa-90b0-b35b616adbdc","Enable logging by category group for microsoft.networkanalytics/dataproducts to Storage","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Storage Account for microsoft.networkanalytics/dataproducts.","NIST SP 800-53 Rev. 5","AC-16"
" Device","2.3 Device Authorization w/ Real
Time Inspection","2.3.1 entity activity monitoring pt1","Using the developed User and Device baselines, DoD Organizations utilize the implemented User and Entity Behavioral Activity (UEBA) solution to integrate baselines. UEBA device attributes and baselines are available to be used for device authorization detections.","UEBA attributes are integrated for device baselining; UEBA attributes are available for usage with device access","DoD Organizations conduct foundational and extended device tooling (NextGen AV, AppControl, File Integrity Monitoring (FIM), etc.) integration to better understand the risk posture.
Organizational PKI systems are integrated to expand the existing Enterprise PKI to devices as well. Lastly Entity Activity Monitoring is also integrated to identify anomalous activities.","DoD organizations establish processes (e.g., Enterprise PKI) and utilize tools to identify any device (including unmanaged devices, infrastructure devices, and endpoint devices) attempting to access the network, and make a determination if the device should be authorized to access the network.
Maturation of this capability monitoring and detection of this activity on endpoints and IT infrastructure in real time","* Entity Activity Monitoring Pt1
* Entity Activity Monitoring Pt2
* Implement Application Control & File Integrity Monitoring (FIM) Tools
* Integrate NextGen AV Tools with C2C
* Fully Integrate Device Security stack with C2C as appropriate
* Enterprise PKI Pt1
* Enterprise PKI Pt2","fc2bb2e1-739a-4a03-86a2-16ad55e90bd9","Enable logging by category group for microsoft.powerbi/tenants/workspaces to Log Analytics","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Log Analytics workspace for microsoft.powerbi/tenants/workspaces.","NIST SP 800-53 Rev. 5","AC-16"
" User","1.6 Behavioral, Contextual ID, and
Biometrics","1.6.2 user activity monitoring pt1","DoD Organizations integrate User & Entity Behavior Analytics (UEBA) and User Activity Monitoring (UAM) solutions with Organizational Identity Providers (IdP) for extended visibility as needed. Analytics and data generated by UEBA and UAM for critical applications/services are integrated with the Just-in-Time and Just-Enough-Access solution improving decision making further.","UEBA is integrated with Org IDPs as appropriate; UEBA is integrated with JIT/JEA for critical services","Utilizing the Enterprise IDP, user and entity behavioral analytics (UEBA) are enabled with basic user attributes. Once completed this is expanded into Organizational specific attributes using Organizational IDPs as available. Finally UEBA are integrated with the PAM and JIT/JEA systems to better detect anomalous and malicious activities.","DoD organizations utilize behavioral, contextual, and biometric telemetry to enhance risk-based authentication and access controls","* Implement User & Entity Behavior Activity (UEBA) and User Activity Monitoring (UAM) Tooling
* User Activity Monitoring Pt1
* User Activity Monitoring Pt2","f7161f06-5260-4f0f-aeae-4bbfb8612a10","Microsoft Managed Control 1812 - Privacy Monitoring And Auditing ","Microsoft implements this Accountability, Audit, and Risk Management control","NIST SP 800-53 Rev. 5","AC-2"
" Device","2.3 Device Authorization w/ Real
Time Inspection","2.3.1 entity activity monitoring pt1","Using the developed User and Device baselines, DoD Organizations utilize the implemented User and Entity Behavioral Activity (UEBA) solution to integrate baselines. UEBA device attributes and baselines are available to be used for device authorization detections.","UEBA attributes are integrated for device baselining; UEBA attributes are available for usage with device access","DoD Organizations conduct foundational and extended device tooling (NextGen AV, AppControl, File Integrity Monitoring (FIM), etc.) integration to better understand the risk posture.
Organizational PKI systems are integrated to expand the existing Enterprise PKI to devices as well. Lastly Entity Activity Monitoring is also integrated to identify anomalous activities.","DoD organizations establish processes (e.g., Enterprise PKI) and utilize tools to identify any device (including unmanaged devices, infrastructure devices, and endpoint devices) attempting to access the network, and make a determination if the device should be authorized to access the network.
Maturation of this capability monitoring and detection of this activity on endpoints and IT infrastructure in real time","* Entity Activity Monitoring Pt1
* Entity Activity Monitoring Pt2
* Implement Application Control & File Integrity Monitoring (FIM) Tools
* Integrate NextGen AV Tools with C2C
* Fully Integrate Device Security stack with C2C as appropriate
* Enterprise PKI Pt1
* Enterprise PKI Pt2","244efd75-0d92-453c-b9a3-7d73ca36ed52","Configure Windows Virtual Machines to be associated with a Data Collection Rule or a Data Collection Endpoint","Deploy Association to link Windows virtual machines to the specified Data Collection Rule or the specified Data Collection Endpoint. The list of locations and OS images are updated over time as support is increased.","NIST SP 800-53 Rev. 5","AC-16"
" Automation and Orchestration","6.6 API Standardization","6.6.2 standardized api calls & schemas pt1","The DoD enterprise works with organizations to establish a programmatic interface (e.g., API) standard and requirements as needed to enable target ZTA functionalities. DoD Organizations update programmatic interfaces to the new standard and mandate newly acquired/developed tools to meet the new standard. Tools unable to meet the standard are allowed by exception using a risk
based methodical approach.","Initial calls and schemas are implemented; Non-compliant tools are replaced","DoD establishes and enforces enterprise-wide programmatic interface (e.g., API ) standards; all non-compliant APIs are identified and replaced.","DoD establishes and enforces enterprise-wide API standards; all non-compliant APIs are identified and replaced","* Tool Compliance Analysis
* Standardized API Calls & Schemas Pt1
* Standardized API Calls & Schemas Pt2","ca85ef9a-741d-461d-8b7a-18c2da82c666","Azure Web Application Firewall on Azure Application Gateway should have request body inspection enabled","Ensure that Web Application Firewalls associated to Azure Application Gateways have Request body inspection enabled. This allows the WAF to inspect properties within the HTTP body that may not be evaluated in the HTTP headers, cookies, or URI.","NIST SP 800-53 Rev. 5","SA-15"
" Network and Environment","5.4 Micro Segmentation","5.4.4 protect data in transit","Based on the data flow mappings and monitoring, policies are enabled by DoD Organizations to mandate protection of data in transit.
Common use cases such as Coalition Information Sharing, Sharing Across System Boundaries and Protection across Architectural Components are included in protection policies.","Protect Data In Transit During Coalition Information Sharing; Protect Data in Transit Across System High Boundaries; Integrate Data In Transit Protection Across Architecture Components","DoD organizations define and document network segmentation based on identity and / or application access in their virtualized and/or cloud environments. Automation is used to apply policy changes through programmatic (e.g., API) approaches. Lastly where possible organizations will utilize host-level process micro segmentation.","DoD organizations define and document network segmentation based on identity and / or application access in their virtualized cloud environments","* Implement Micro segmentation
* Application & Device Micro segmentation
* Process Micro segmentation
* Protect Data In Transit","ca85ef9a-741d-461d-8b7a-18c2da82c666","Azure Web Application Firewall on Azure Application Gateway should have request body inspection enabled","Ensure that Web Application Firewalls associated to Azure Application Gateways have Request body inspection enabled. This allows the WAF to inspect properties within the HTTP body that may not be evaluated in the HTTP headers, cookies, or URI.","NIST SP 800-53 Rev. 5","SC-13"
" Device","2.3 Device Authorization w/ Real
Time Inspection","2.3.1 entity activity monitoring pt1","Using the developed User and Device baselines, DoD Organizations utilize the implemented User and Entity Behavioral Activity (UEBA) solution to integrate baselines. UEBA device attributes and baselines are available to be used for device authorization detections.","UEBA attributes are integrated for device baselining; UEBA attributes are available for usage with device access","DoD Organizations conduct foundational and extended device tooling (NextGen AV, AppControl, File Integrity Monitoring (FIM), etc.) integration to better understand the risk posture.
Organizational PKI systems are integrated to expand the existing Enterprise PKI to devices as well. Lastly Entity Activity Monitoring is also integrated to identify anomalous activities.","DoD organizations establish processes (e.g., Enterprise PKI) and utilize tools to identify any device (including unmanaged devices, infrastructure devices, and endpoint devices) attempting to access the network, and make a determination if the device should be authorized to access the network.
Maturation of this capability monitoring and detection of this activity on endpoints and IT infrastructure in real time","* Entity Activity Monitoring Pt1
* Entity Activity Monitoring Pt2
* Implement Application Control & File Integrity Monitoring (FIM) Tools
* Integrate NextGen AV Tools with C2C
* Fully Integrate Device Security stack with C2C as appropriate
* Enterprise PKI Pt1
* Enterprise PKI Pt2","8a04f872-51e9-4313-97fb-fc1c3543011c","Azure Application Gateway should have Resource logs enabled","Enable Resource logs for Azure Application Gateway (plus WAF) and stream to a Log Analytics workspace. Get detailed visibility into inbound web traffic and actions taken to mitigate attacks.","NIST SP 800-53 Rev. 5","AC-16"
" Automation and Orchestration","6.1 Policy Decision Point (PDP) & Policy Orchestration","6.1.2 organization access profile","DoD Organizations develop basic access profiles for mission/task and non-mission/task DAAS access using the data from the User, Data, Network, and device pillars.  The DoD Enterprise works with the Organizations to develop an Enterprise Security Profile using the existing Organizational security profiles to create a common access approach to DAAS. A phased approach can be used in organizations to limit risk to mission/task critical DAAS access once the security profile(s) are created.","Organization scoped profile(s) are created to determine access to DAAS using capabilities from User, Data, Network, and Device pillars; Initial enterprise profile access standard is developed for access to DAAS ; When possible the organization profile(s) utilizes enterprise available services in the User, Data, Network and Device pillars; Organization Mission/Task critical profile(s) are created","DoD organizations initially collect and document all rule based policies to orchestrate across the security stack for effective automation; DAAS access procedures and policies will be defined, implemented, and updated. Organizations mature this capability by establishing PDPs and PEPs (including the Next Generation Firewall) to make DAAS resource determinations and enable, monitor, and terminate connections between a user/device and DAAS resources according to predefined policy.","DoD organizations initially collect and document all rule based policies to orchestrate across the security stack for effective automation; DAAS access procedures and policies will be defined, implemented, and updated. Organizations mature this capability by establishing PDPs and PEPs (including the Next Generation Firewall) to make DAAS resource determinations and enable, monitor, and terminate connections between a user/device and DAAS resources according to predefined policy","* Policy Inventory & Development
* Organization Access Profile
* Enterprise Security Profile Pt1
* Enterprise Security Profile Pt2","3e1f521a-d037-4709-bdd6-1f532f271a75","Azure Firewall should be deployed to span multiple Availability Zones","For increased availability we recommend deploying your Azure Firewall to span multiple Availability Zones. This ensures that your Azure Firewall will remain available in the event of a zone failure.","NIST SP 800-53 Rev. 5","AC-16"
" Automation and Orchestration","6.1 Policy Decision Point (PDP) & Policy Orchestration","6.1.2 organization access profile","DoD Organizations develop basic access profiles for mission/task and non-mission/task DAAS access using the data from the User, Data, Network, and device pillars.  The DoD Enterprise works with the Organizations to develop an Enterprise Security Profile using the existing Organizational security profiles to create a common access approach to DAAS. A phased approach can be used in organizations to limit risk to mission/task critical DAAS access once the security profile(s) are created.","Organization scoped profile(s) are created to determine access to DAAS using capabilities from User, Data, Network, and Device pillars; Initial enterprise profile access standard is developed for access to DAAS ; When possible the organization profile(s) utilizes enterprise available services in the User, Data, Network and Device pillars; Organization Mission/Task critical profile(s) are created","DoD organizations initially collect and document all rule based policies to orchestrate across the security stack for effective automation; DAAS access procedures and policies will be defined, implemented, and updated. Organizations mature this capability by establishing PDPs and PEPs (including the Next Generation Firewall) to make DAAS resource determinations and enable, monitor, and terminate connections between a user/device and DAAS resources according to predefined policy.","DoD organizations initially collect and document all rule based policies to orchestrate across the security stack for effective automation; DAAS access procedures and policies will be defined, implemented, and updated. Organizations mature this capability by establishing PDPs and PEPs (including the Next Generation Firewall) to make DAAS resource determinations and enable, monitor, and terminate connections between a user/device and DAAS resources according to predefined policy","* Policy Inventory & Development
* Organization Access Profile
* Enterprise Security Profile Pt1
* Enterprise Security Profile Pt2","3e1f521a-d037-4709-bdd6-1f532f271a75","Azure Firewall should be deployed to span multiple Availability Zones","For increased availability we recommend deploying your Azure Firewall to span multiple Availability Zones. This ensures that your Azure Firewall will remain available in the event of a zone failure.","NIST SP 800-53 Rev. 5","AC-6"
" Network and Environment","5.2 Software Defined Networking (SDN)","5.2.4 network asset discovery & optimization","DoD Organizations automate network asset discovery through the SDN infrastructure limiting access to devices based on risk based methodical approaches. Optimization is conducted based on the SDN analytics to improve overall performance along with provide
necessary approved access to resources.","Technical Refreshment/Technology Evolution; Provide Optimization/Performance Controls","DoD organizations define API decision points and implement SDN programmable infrastructure to separate the control and data planes and centrally manage and control the elements in the data plane. Integrations are conducted with decision points and segmentation gateway to accomplish the plane separation.
Analytics are then integrated to real time decision making for access to resources.","DoD organizations define API decision points and implement SDN programmable infrastructure to separate the control and data planes and centrally manage and control the elements in the data plane","* Define SDN APIs* Implement SDN Programable Infrastructure
* Segment Flows into Control, Management, and Data Planes
* Network Asset Discovery & Optimization
* Real-Time Access Decisions","3e1f521a-d037-4709-bdd6-1f532f271a75","Azure Firewall should be deployed to span multiple Availability Zones","For increased availability we recommend deploying your Azure Firewall to span multiple Availability Zones. This ensures that your Azure Firewall will remain available in the event of a zone failure.","NIST SP 800-53 Rev. 5","SI-4"
" Network and Environment","5.4 Micro Segmentation","5.4.4 protect data in transit","Based on the data flow mappings and monitoring, policies are enabled by DoD Organizations to mandate protection of data in transit.
Common use cases such as Coalition Information Sharing, Sharing Across System Boundaries and Protection across Architectural Components are included in protection policies.","Protect Data In Transit During Coalition Information Sharing; Protect Data in Transit Across System High Boundaries; Integrate Data In Transit Protection Across Architecture Components","DoD organizations define and document network segmentation based on identity and / or application access in their virtualized and/or cloud environments. Automation is used to apply policy changes through programmatic (e.g., API) approaches. Lastly where possible organizations will utilize host-level process micro segmentation.","DoD organizations define and document network segmentation based on identity and / or application access in their virtualized cloud environments","* Implement Micro segmentation
* Application & Device Micro segmentation
* Process Micro segmentation
* Protect Data In Transit","3e1f521a-d037-4709-bdd6-1f532f271a75","Azure Firewall should be deployed to span multiple Availability Zones","For increased availability we recommend deploying your Azure Firewall to span multiple Availability Zones. This ensures that your Azure Firewall will remain available in the event of a zone failure.","NIST SP 800-53 Rev. 5","SC-13"
" User","1.4 Privileged Access Management (PAM)","1.4.3 real time approvals & jit/jea analytics pt1","Identification of necessary attributes (Users, Groups, etc.) are automated and integrated into the Privileged Access Management (PAM) solution.  Privilege access requests are migrated to the PAM solution for automated approvals and denials.","Identified accounts, applications, devices, and data of concern (of greatest risk to DoD mission); Using PAM tools, applied JIT/JEA access to high-risk accounts; Privileged access requests are automated as appropriate","The capability focuses on removal of permanent administrator/elevated privileges by first creating a Privileged Account Management (PAM) system and migrating privileged users to it. The capability is then expanded upon by using automation with privilege escalation approvals and feeding analytics into the system for anomaly detection.","DoD organizations control, monitor, secure, and audit privileged identities (e.g., through password vaulting, JIT/JEA with PAWS) across their IT environments","* Implement System and Migrate Privileged Users Pt1
* Implement System and Migrate Privileged Users Pt2
* Real time Approvals & JIT/JEA Analytics Pt1
* Real time Approvals & JIT/JEA Analytics Pt2","805651bc-6ecd-4c73-9b55-97a19d0582d0","Management ports of virtual machines should be protected with just-in-time network access control","Defender for Cloud has identified some overly-permissive inbound rules for management ports in your Network Security Group. Enable just-in-time access control to protect your VM from internet-based brute-force attacks. Learn more in <a target=""_blank"" href=""https://docs.microsoft.com/azure/defender-for-cloud/just-in-time-access-overview?wt.mc_id=defenderforcloud_inproduct_portal_recoremediation"">Understanding just-in-time (JIT) VM access</a>.","NIST SP 800-53 Rev. 5","AC-6"
" Device","2.3 Device Authorization w/ Real
Time Inspection","2.3.1 entity activity monitoring pt1","Using the developed User and Device baselines, DoD Organizations utilize the implemented User and Entity Behavioral Activity (UEBA) solution to integrate baselines. UEBA device attributes and baselines are available to be used for device authorization detections.","UEBA attributes are integrated for device baselining; UEBA attributes are available for usage with device access","DoD Organizations conduct foundational and extended device tooling (NextGen AV, AppControl, File Integrity Monitoring (FIM), etc.) integration to better understand the risk posture.
Organizational PKI systems are integrated to expand the existing Enterprise PKI to devices as well. Lastly Entity Activity Monitoring is also integrated to identify anomalous activities.","DoD organizations establish processes (e.g., Enterprise PKI) and utilize tools to identify any device (including unmanaged devices, infrastructure devices, and endpoint devices) attempting to access the network, and make a determination if the device should be authorized to access the network.
Maturation of this capability monitoring and detection of this activity on endpoints and IT infrastructure in real time","* Entity Activity Monitoring Pt1
* Entity Activity Monitoring Pt2
* Implement Application Control & File Integrity Monitoring (FIM) Tools
* Integrate NextGen AV Tools with C2C
* Fully Integrate Device Security stack with C2C as appropriate
* Enterprise PKI Pt1
* Enterprise PKI Pt2","187242f4-89c6-4c43-9a4e-188c0efacc5f","Resource logs should be enabled for Audit on supported resources","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. The existence of a diagnostic setting for category group Audit on the selected resource types ensures that these logs are enabled and captured. Applicable resource types are those that support the ""Audit"" category group.","NIST SP 800-53 Rev. 5","AC-16"
" Device","2.3 Device Authorization w/ Real
Time Inspection","2.3.1 entity activity monitoring pt1","Using the developed User and Device baselines, DoD Organizations utilize the implemented User and Entity Behavioral Activity (UEBA) solution to integrate baselines. UEBA device attributes and baselines are available to be used for device authorization detections.","UEBA attributes are integrated for device baselining; UEBA attributes are available for usage with device access","DoD Organizations conduct foundational and extended device tooling (NextGen AV, AppControl, File Integrity Monitoring (FIM), etc.) integration to better understand the risk posture.
Organizational PKI systems are integrated to expand the existing Enterprise PKI to devices as well. Lastly Entity Activity Monitoring is also integrated to identify anomalous activities.","DoD organizations establish processes (e.g., Enterprise PKI) and utilize tools to identify any device (including unmanaged devices, infrastructure devices, and endpoint devices) attempting to access the network, and make a determination if the device should be authorized to access the network.
Maturation of this capability monitoring and detection of this activity on endpoints and IT infrastructure in real time","* Entity Activity Monitoring Pt1
* Entity Activity Monitoring Pt2
* Implement Application Control & File Integrity Monitoring (FIM) Tools
* Integrate NextGen AV Tools with C2C
* Fully Integrate Device Security stack with C2C as appropriate
* Enterprise PKI Pt1
* Enterprise PKI Pt2","f8352124-56fa-4f94-9441-425109cdc14b","Enable logging by category group for Bastions (microsoft.network/bastionhosts) to Log Analytics","Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This policy deploys a diagnostic setting using a category group to route logs to a Log Analytics workspace for Bastions (microsoft.network/bastionhosts).","NIST SP 800-53 Rev. 5","AC-16"
" Network and Environment","5.4 Micro Segmentation","5.4.4 protect data in transit","Based on the data flow mappings and monitoring, policies are enabled by DoD Organizations to mandate protection of data in transit.
Common use cases such as Coalition Information Sharing, Sharing Across System Boundaries and Protection across Architectural Components are included in protection policies.","Protect Data In Transit During Coalition Information Sharing; Protect Data in Transit Across System High Boundaries; Integrate Data In Transit Protection Across Architecture Components","DoD organizations define and document network segmentation based on identity and / or application access in their virtualized and/or cloud environments. Automation is used to apply policy changes through programmatic (e.g., API) approaches. Lastly where possible organizations will utilize host-level process micro segmentation.","DoD organizations define and document network segmentation based on identity and / or application access in their virtualized cloud environments","* Implement Micro segmentation
* Application & Device Micro segmentation
* Process Micro segmentation
* Protect Data In Transit","8c19196d-7fd7-45b2-a9b4-7288f47c769a","Azure Firewall Standard should be upgraded to Premium for next generation protection","If you are looking for next generation protection like IDPS and TLS inspection, you should consider upgrading your Azure Firewall to Premium sku.","NIST SP 800-53 Rev. 5","SC-13"
" Automation and Orchestration","6.6 API Standardization","6.6.1 tool compliance analysis","Automation and Orchestration tooling and solutions are analyzed for compliance and capabilities based on the DoD Enterprise programmatic interface standard and requirements. Any additional tooling or solutions are identified to support the programmatic
interface standards and requirements.","API status is determined compliance or non-compliance to API standards; Tools to be used are Identified","DoD establishes and enforces enterprise-wide programmatic interface (e.g., API ) standards; all non-compliant APIs are identified and replaced.","DoD establishes and enforces enterprise-wide API standards; all non-compliant APIs are identified and replaced","* Tool Compliance Analysis
* Standardized API Calls & Schemas Pt1
* Standardized API Calls & Schemas Pt2","8c19196d-7fd7-45b2-a9b4-7288f47c769a","Azure Firewall Standard should be upgraded to Premium for next generation protection","If you are looking for next generation protection like IDPS and TLS inspection, you should consider upgrading your Azure Firewall to Premium sku.","Azure Recommended","Azure Recommended"
